Kanes Market,,,,,,,,,,
Date,Amount,Hours ,Week,,,,,Total Income,Total Hours,Avg Check
3/28/20,$188.48,20,1,,,,All time,"$47,167.87",4268,$316.56
4/4/20,$226.90,24.25,2,,,,2020,"$7,587.93",729.75,
4/11/20,$255.62,27.5,3,,,,2021,"$15,336.92",1456.75,
4/18/20,$179.42,19,4,,,,2022,"$18,054.32",1626.75,
4/25/20,$217.91,23.25,5,,,,2023,"$3,416.89",278,
5/2/20,$229.11,24.5,6,,,,,,,
5/9/20,$180.15,18.25,7,,,,,,,
5/16/20,$225.09,23,8,,,,,,,
5/23/20,$229.71,11.5,9,,,,,,,
5/30/20,$175.40,17.75,10,,,,,,,
6/6/20,$175.40,17.75,11,,,,,,,
6/13/20,$173.03,17.5,12,,,,,,,
6/20/20,$191.98,19.5,13,,,,,,,
6/27/20,$191.98,19.5,14,,,,,,,
7/4/20,$156.46,15.75,15,,,,,,,
7/11/20,$225.09,23,16,,,,,,,
7/18/20,$294.39,30.5,17,,,,,,,
7/25/20,$257.44,11.5,18,,,,,,,
8/1/20,$203.81,20.75,19,,,,,,,
8/8/20,$196.71,20,20,,,,,,,
8/22/20,$184.87,18.75,21,,,,,,,
8/29/20,$191.98,11.5,22,,,,,,,
9/5/20,$197.54,19.25,23,,,,,,,
9/12/20,$192.60,18.75,24,,,,,,,
9/19/20,$202.48,19.75,25,,,,,,,
9/26/20,$217.30,21.25,26,,,,,,,
10/3/20,$185.19,18,27,,,,,,,
10/10/20,$222.25,21.75,28,,,,,,,
10/17/20,$185.19,18,29,,,,,,,
10/24/20,$190.13,18.5,30,,,,,,,
10/31/20,$204.95,20,31,,,,,,,
11/7/20,$190.13,18.5,32,,,,,,,
11/14/20,$195.06,19,33,,,,,,,
11/21/20,$101.19,9.5,34,,,,,,,
11/28/20,$88.83,8.25,35,,,,,,,
12/5/20,$182.71,17.75,36,,,,,,,
12/12/20,$190.13,18.5,37,,,,,,,
12/19/20,$172.84,16.75,38,,,,,,,
12/26/20,$118.48,11.25,39,,,,,,,
1/2/21,$166.91,16.25,40,,,,,,,
1/9/21,$184.11,18,41,,,,,,,
1/16/21,$179.48,17.5,42,,,,,,,
1/23/21,$174.57,17,43,,,,,,,
1/30/21,$181.93,17.75,44,,,,,,,
2/6/21,$184.40,18,45,,,,,,,
2/13/21,$179.48,17.5,46,,,,,,,
2/20/21,$184.40,18,47,,,,,,,
2/27/21,$179.48,17.5,48,,,,,,,
3/6/21,$186.84,18.25,49,,,,,,,
3/13/21,$221.23,21.75,50,,,,,,,
3/20/21,$189.31,18.5,51,Shawn,,,,,,
3/27/21,$204.04,20,52,,,,,,,
4/3/21,$288.00,28.75,53,,,,,,,
4/10/21,$157.38,15.25,54,,,,,,,
4/17/21,$235.71,23.25,55,,,,,,,
4/24/21,$194.21,19,56,,,,,,,
5/1/21,$191.76,18.75,57,,,,,,,
5/8/21,$240.51,23.75,58,,,,,,,
5/15/21,$230.92,22.75,59,,,,,,,
5/22/21,$150.02,14.5,60,,,,,,,
5/29/21,$199.13,19.5,61,,,,,,,
6/5/21,$242.90,24,62,,,,,,,
6/12/21,$264.26,26.25,63,,,,,,,
6/19/21,$60.62,5.5,64,,,,,,,
6/26/21,$223.68,22,65,,,,,,,
7/3/21,$601.94,56.25,66,,,,,,,
7/10/21,$320.78,32.25,67,,,,,,,
7/17/21,$435.57,43.25,68,,,,,,,
7/24/21,$399.07,40.5,69,,,,,,,
7/31/21,$343.02,32,70,,,,,,,
8/7/21,$335.56,31.25,71,,,,,,,
8/14/21,$246.47,22.5,72,,,,,,,
8/21/21,$323.13,30,73,,,,,,,
8/28/21,$215.08,19.5,74,,,,,,,
9/4/21,$357.82,33.5,75,,,,,,,
9/11/21,$392.97,37,76,,,,,,,
9/18/21,$352.75,33,77,,,,,,,
9/25/21,$409.66,38.75,78,,,,,,,
10/2/21,$465.00,43,79,,,,,,,
10/9/21,$451.06,42,80,,,,,,,
10/16/21,$432.66,40.75,81,,,,,,,
10/23/21,$378.08,35.5,82,,,,,,,
10/30/21,$305.47,28.25,83,,,,,,,
11/6/21,$220.41,20,84,,,,,,,
11/13/21,$373.00,35,85,,,,,,,
11/20/21,$447.40,41.75,86,,,,,,,
11/27/21,$537.25,48.25,87,,,,,,,
12/4/21,$388.20,36.5,88,,,,,,,
12/11/21,$400.10,37.75,89,,,,,,,
12/18/21,$465.00,43,90,,,,,,,
12/25/21,$644.19,56,91,Raise,,,,,,
1/1/22,$373.00,32.5,92,,,,,,,
1/8/22,$328.35,28.25,93,,,,,,,
1/15/22,$376.78,32.75,94,,,,,,,
1/22/22,$281.93,24,95,,,,,,,
1/29/22,$70.72,5.5,96,,,,,,,
2/5/22,$279.16,23.75,97,,,,,,,
2/12/22,$333.67,28.75,98,,,,,,,
2/19/22,$183.11,15.25,99,,,,,,,
2/26/22,$165.93,13.75,100,,,,,,,
3/5/22,$293.00,25,101,,,,,,,
3/12/22,$290.24,24.75,102,,,,,,,
3/19/22,$325.61,28,103,,,,,,,
3/26/22,$431.72,38,104,,,,,,,
4/2/22,$408.24,35.75,105,,,,,,,
4/9/22,$395.54,34.5,106,,,,,,,
4/16,$493.77,42.75,107,,,,,,,
4/23/22,$346.99,30,108,,,,,,,
4/30/22,$475.87,41.5,109,,,,,,,
5/7/22,$429.07,37.75,110,,,,,,,
5/14/22,$429.07,37.75,111,,,,,,,
5/21/22,$423.78,37.25,112,,,,,,,
5/28/22,$439.64,38.75,113,,,,,,,
6/4/22,$421.12,37,114,,,,,,,
6/11/22,$429.07,37.75,115,,,,,,,
6/18/22,$434.36,38.25,116,,,,,,,
6/25/22,$439.64,38.75,117,,,,,,,
7/2/22,$426.42,37.5,118,,,,,,,
7/9/22,$293.00,25,119,Miami,,,,,,
7/23/22,$333.67,28.75,120,,,,,,,
7/30/22,$365.88,31.75,121,,,,,,,
8/6/22,$384.96,33.5,122,,,,,,,
8/13/22,$423.78,37.25,123,,,,,,,
8/20/22,$390.42,34,124,,,,,,,
8/27/22,$309.49,26.5,125,,,,,,,
9/3/22,$398.23,34.75,126,,,,,,,
9/10/22,$431.72,38,127,,,,,,,
9/17/22,$447.58,39.5,128,,,,,,,
9/24/22,$442.29,39,129,,,,,,,
10/1/22,$439.64,38.75,130,,,,,,,
10/8/22,$410.89,36,131,,,,,,,
10/15/22,$447.58,39.5,132,,,,,,,
10/22/22,$382.24,33.25,133,,,,,,,
10/29/22,$439.64,38.75,134,,,,,,,
11/5/22,$444.94,39.25,135,,,,,,,
11/12/22,$431.72,38,136,,,,,,,
11/19/22,$475.87,41.5,137,,,,,,,
11/26/22,$634.98,52.25,138,,,,,,,
12/3/22,$482.86,42,139,,,,,,,
12/10/22,$434.36,38.25,140,,,,,,,
12/17/22,$598.02,49.75,141,,,,,,,
12/24/22,$879.79,70,142,,,,,,,
12/31/22,$376.78,32.75,143,,,,,,,
1/7/23,$381.88,33,144,,,,,,,
1/14/23,$410.60,35.75,145,,,,,,,
1/21/23,$405.60,35.25,146,,,,,,,
1/28/23,$428.78,37.5,147,,,,,,,
2/4/23,$403.25,35,148,Raise,,,,,,
2/11/23,$492.64,38.25,149,,,,,,,
2/18/23,$894.14,63.25,150,,,,,,,